id,hours_type,mon_start,mon_end,mon_overnight,tues_start,tues_end,tues_overnight,wed_start,wed_end,wed_overnight,thurs_start,thurs_start,thurs_overnight,fri_start,fri_end,fri_overnight,sat_start,sat_end,sat_overnight,sun_start,sun_end,sun_overnight
ecqjHw3jeEApa9eZ622hAA,REGULAR,1130,2300,False,1130,2300,False,1130,2300,False,1130,2300,False,1130,2300,False,1130,2300,False,1200,2100,False
tKRg7pxR2Sw7aSrHTQS5mQ,REGULAR,1200,2200,False,1200,2200,False,1200,2200,False,1200,2200,False,1200,2300,False,1100,2300,False,1700,2200,False
VDmV3tPEQqFxzqQJRJazNw,REGULAR,1100,2100,False,1100,2100,False,1100,2100,False,1100,2100,False,1100,2200,False,1100,2200,False,1100,2100,False
m1ertlgQIxAl74D7nCsvbQ,REGULAR,1130,2130,False,1130,2130,False,1130,2130,False,1130,2130,False,1130,2130,False,1000,2130,False,1000,2130,False
rdpY_LeMnDnfeK47eDnDOw,REGULAR,1000,0100,True,1000,0100,True,1000,0100,True,1000,0100,True,1000,0100,True,0900,0100,True,0900,0100,True
xVxjzyMqghCYwVe_dwJzJw,REGULAR,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1000,0100,True,1000,0100,True
eJzWmVgMY5x1n281Qw6YDQ,REGULAR,1600,2230,False,1600,2230,False,1600,2230,False,1600,2230,False,1100,2330,False,1100,2330,False,1100,2230,False
_RWkck7niE8VJG3zLXK2ig,REGULAR,,,,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1600,0200,True,1600,0200,True
8zLHresim_7dPvkYSuBVzA,REGULAR,,,,,,,1700,2100,False,1700,2100,False,1700,2200,False,1700,2200,False,1700,2100,False
l4YpEuvIm_RqNXleuDIthw,REGULAR,1100,2200,False,1100,2200,False,1100,2200,False,1100,2200,False,1100,2200,False,1100,2200,False,1100,2200,False
